"peoplecode_sfblist"	"people_code_orcid"	"Name"	"role_group"	"orcid.x"	"project"	"bio"	"homepage"	"avatar"	"twitter"	"github"	"orcidnum"
"cristiana-dimulescu"	"cristiana-dimulescu"	"Cristiana Dimulescu"	"PhD student"	NA	"B03"	"PhD student in project B03"	"https://www.ni.tu-berlin.de/menue/neural_information_processing_group/"	NA	NA	NA	NA
"daniela-obst"	"daniela-obst"	"Daniela Obst"	"PhD student"	NA	"B03"	"PhD student in project B03"	"https://www2.medizin.uni-greifswald.de/neurolog/klinik/mitarbeiter/prof-dr-agnes-floeel/"	NA	NA	NA	NA
"daniella-vallentin"	"daniela-vallentin"	"Prof. Daniela Vallentin"	"PI"	"https://orcid.org/0000-0002-7518-0566"	"A06"	NA	"https://vallentinlab.com/"	NA	"https://twitter.com/sunday_habits"	NA	"0000-0002-7518-0566"
"david-owald"	"david-owald"	"Prof. David Owald"	"PI"	"https://orcid.org/0000-0001-7747-7884"	"A07"	NA	"http://owald-lab.de/"	NA	"https://twitter.com/OwaldD"	NA	"0000-0001-7747-7884"
"nina-wald-de-chamorro"	"de-chamorro"	"Dr. Nina Wald de Chamorro"	"Post-doc"	NA	"B04"	"Post doc in project B04"	"https://www.charite.de/en/service/en_person_detail/person/address_detail/kaindl/"	NA	NA	NA	NA
"deetje-iggena"	"deetje-iggena"	"Dr. Deetje Iggena"	"Post-doc"	"https://orcid.org/0000-0001-8778-5127"	"B05"	"Post doc in project B05"	"http://www.mind-and-brain.de/people/cognition-in-neurological-disorders-group/"	NA	NA	NA	"0000-0001-8778-5127"
"denis-alevi"	"denis-alevi"	"Denis Alevi"	"PhD student"	"https://orcid.org/0000-0001-8514-7199"	"B01"	"PhD student in project B01"	"https://www.sprekelerlab.org/"	NA	NA	NA	"0000-0001-8514-7199"
"desiree-laber"	"desiree-laber"	"Desiree Laber"	"PhD student"	NA	"A07"	"PhD student in project A07"	"http://owald-lab.de/"	NA	NA	NA	NA
"dietmar-schmitz"	"dietmar-schmitz"	"Prof. Dr. Dietmar Schmitz"	"PI"	"https://orcid.org/0000-0003-2741-5241"	"A01, A02"	"PI in projects A01, A02"	"https://schmitz.neurocure.de/"	"done"	NA	NA	"0000-0003-2741-5241"
"dorothea-h-mmerer"	"Dorothea-haemmerer"	"Dr. Dorothea Hämmerer"	"Post-doc"	NA	"B06"	"Post doc in project B06"	"https://www.dzne.de/en/research/research-areas/clinical-research/research-groups/duezel/research-areasfocus/"	NA	"https://twitter.com/d_haemmerer"	NA	NA
"emrah-d-zel"	"emrah-duezel"	"Prof. Emrah Düzel"	"PI"	NA	"B06"	NA	"https://www.dzne.de/en/research/research-areas/clinical-research/research-groups/duezel/research-areasfocus/"	NA	NA	NA	NA
"eric-reifenstein"	"eric-reifenstein"	"Dr. Eric Reifenstein"	"Post-doc"	NA	"A01"	"Post doc in project A01"	"https://itb.biologie.hu-berlin.de/~kempter/"	NA	NA	NA	NA
"eric-reynolds"	"eric-reynolds"	"Dr. Eric Reynolds"	"Post-doc"	NA	"A07"	"Post doc in project A07"	"http://owald-lab.de/"	NA	NA	NA	NA
NA	"eser-isler"	"Dr. Eser Isler"	"Post-doc"	NA	"B06"	"Post doc in project B06"	"https://www.dzne.de/en/research/research-areas/clinical-research/research-groups/duezel/research-areasfocus/"	NA	"https://twitter.com/eser_isler"	NA	NA
"fabian-heim"	"fabian-heim"	"Fabian Heim"	"Post-doc"	"https://orcid.org/0000-0001-8988-0793"	"A06"	"Research assistent in project A06"	"https://vallentinlab.com/"	NA	"https://twitter.com/songbirdbrain"	NA	"0000-0001-8988-0793"
"foteini-paraskevopulou"	"foteini-paraskevopulou"	"Foteini Paraskevopulou"	"alumni"	NA	"C01"	"Former PhD student in project C01"	"http://www.rosenmundlab.de/en/people/3"	NA	NA	NA	NA
"frederik-bartels"	"frederik-bartels"	"Dr. Frederik Bartels"	"Alumni"	"https://orcid.org/0000-0003-3523-4520"	"B05"	"Former post doc in project B05"	"http://www.mind-and-brain.de/people/cognition-in-neurological-disorders-group/"	NA	NA	NA	"0000-0003-3523-4520"
"gaspar-cano"	"gaspar-cano"	"Gaspar Cano"	"PhD student"	NA	"A01"	"PhD student in project A01"	"https://itb.biologie.hu-berlin.de/~kempter/"	NA	NA	NA	"0000-0003-2076-1547"
"georgina-sket"	"georgina-sket"	"Georgina Sket"	"alumni"	NA	"B04"	"Former PhD student in project B04"	"https://medpsych.charite.de/metas/person/person/address_detail/buss-3/"	NA	NA	NA	NA
"henning-sprekeler"	"henning-sprekeler"	"Prof. Henning Sprekeler"	"PI"	"https://orcid.org/0000-0002-1698-5815"	"B01"	NA	"https://www.cognition.tu-berlin.de/menue/members/henning_sprekeler/"	NA	"https://twitter.com/sprekeler"	NA	"0000-0002-1698-5815"
"henriette-sch-tz"	"Henriette-schuez"	"Henriette Schüz"	"PhD student"	NA	"B04"	"PhD student in project B04"	"https://www.charite.de/en/service/en_person_detail/person/address_detail/kaindl/"	NA	NA	NA	NA
"ian-erik-meredyth-stewart"	"ian-erik-stewart"	"Ian Erik Meredyth Stewart"	"PhD student"	"https://orcid.org/0000-0001-5307-1564"	"A05"	"PhD student in project A05"	"https://www.mdc-berlin.de/poulet"	NA	NA	NA	"0000-0001-5307-1564"
"iryna-schommartz"	"iryna-schommartz"	"Iryna Schommartz"	"PhD student"	"https://orcid.org/0000-0001-8655-9259"	"B04"	"PhD student in project B04"	"https://www.psychologie.uni-frankfurt.de/55770598/Research"	NA	NA	NA	"0000-0001-8655-9259"
"james-poulet"	"james-poulet"	"Prof. James Poulet"	"PI"	"https://orcid.org/0000-0003-0296-5415"	"A05"	NA	"https://www.mdc-berlin.de/poulet"	NA	"https://twitter.com/PouletJames"	NA	"0000-0003-0296-5415"
"jiyun-shin"	"jiyun-shin"	"Jiyun Shin"	"PhD student"	NA	"A04"	"PhD student in project A04"	"https://www.projekte.hu-berlin.de/en/larkum/"	NA	"https://twitter.com/jshin92"	NA	NA
"julia-ladenbauer"	"julia-ladenbauer"	"Dr. Julia Ladenbauer"	"Post-doc"	"https://orcid.org/0000-0001-5060-250X"	"B03"	"Post doc in project B03"	"https://www.ni.tu-berlin.de/menue/neural_information_processing_group/"	NA	NA	NA	"0000-0001-5060-250X"
"julien-colomb"	"julien-colomb"	"Dr. Julien Colomb"	"Data curator"	"https://orcid.org/0000-0002-3127-5520"	"Z"	"Open science and data management expert."	"https://sfb1315-output.de"	"done"	"https://twitter.com/j_colomb"	"https://github.com/jcolomb"	"0000-0002-3127-5520"
"katharina-stumpenhorst"	"katharina-stumpenhost"	"Dr. Katharina Stumpenhost"	"Post-doc"	NA	"C02"	"Post doc in project C02"	"https://www.winterlab.org/"	NA	NA	NA	NA
"klaus-obermayer"	"klaus-obermayer"	"Prof. Klaus Obermayer"	"PI"	"https://orcid.org/0000-0002-0471-8170"	"B03"	NA	"https://www.ni.tu-berlin.de/menue/neural_information_processing_group/"	NA	NA	NA	"0000-0002-0471-8170"
"liliia-shevchuk"	"liliia-schevchuk"	"Liliia Schevchuk"	"PhD student"	NA	"B03"	"PhD student in project B03"	"https://www2.medizin.uni-greifswald.de/neurolog/klinik/mitarbeiter/prof-dr-agnes-floeel/"	NA	NA	NA	NA
"livia-de-hoz"	"livia-de-hoz"	"de Hoz Livia"	"associated PI"	NA	NA	NA	NA	NA	NA	NA	NA
"marcial-camacho-perez"	"marcial-camacho-perez"	"Dr. Marcial Camacho-Perez"	"Alumni"	"https://orcid.org/0000-0002-2367-1259"	"C01"	"Former post doc in project C01"	"http://www.rosenmundlab.de/en/people/3"	NA	NA	NA	"0000-0002-2367-1259"
"marina-mikhaylova"	"marina-mikhaylova"	"Prof. Marina Mikhaylova"	"associated PI"	"https://orcid.org/0000-0001-7646-1346"	"A04, C02"	NA	"https://www.uke.de/english/physicians-and-scientists/mitarbeiterprofilseite_marina_mikhaylova.html"	NA	"https://twitter.com/MarinaMikhaylo8"	NA	"0000-0001-7646-1346"
"marylouise-grossman"	"mary-louise-grossman"	"Mary Louise Grossman"	"Staff"	"https://orcid.org/0000-0002-4600-7131"	NA	"Project coordinator"	NA	NA	NA	NA	"0000-0002-4600-7131"
"matthew-betts"	"matthew-betts"	"Dr. Matthew Betts"	"Post-doc"	NA	"B06"	"Post doc in project B06"	"https://www.dzne.de/en/research/research-areas/clinical-research/research-groups/duezel/research-areasfocus/"	NA	"https://twitter.com/MTJBetts"	NA	NA
"matthew-larkum"	"matthew-larkum"	"Prof. Matthew Larkum"	"PI"	"https://orcid.org/0000-0001-9799-2656"	"A04, Z"	"PI in projects A04"	"https://www.projekte.hu-berlin.de/en/larkum/people/matthew-larkum-en"	NA	"https://twitter.com/mattlark"	NA	"0000-0001-9799-2656"
"matthias-broser"	"matthias-broser"	"Dr. Matthias Broser"	"Post-doc"	"Rosenmund"	"C01"	NA	NA	NA	NA	NA	NA
"michael-brecht"	"michael-brecht"	"Prof. Michael Brecht"	"PI"	"https://orcid.org/0000-0002-5387-0953"	"A03"	NA	"https://www.activetouch.de/"	NA	NA	NA	"0000-0002-5387-0953"
"michael-scholz"	"michael-scholz"	"Dr. Michael Scholz"	"Post-doc"	NA	"B03"	"Post doc in project B03"	"https://www.ni.tu-berlin.de/menue/neural_information_processing_group/"	NA	NA	NA	NA
"mikkel-vestergaard"	"mikkel-vestergaard"	"Dr. Mikkel Vestergaard"	"Post-doc"	"https://orcid.org/0000-0002-8939-8099"	"A05"	"Post doc in project A05"	"https://www.mdc-berlin.de/poulet"	NA	NA	NA	"0000-0002-8939-8099"
"nai-feng-chen"	"Nai-feng-chen"	"Nai Feng Chen"	"PhD student"	NA	"B06"	"PhD student in project B06"	"https://www.dzne.de/en/research/research-areas/clinical-research/research-groups/duezel/research-areasfocus/"	NA	NA	NA	NA
"naomi-auer"	"naomi-auer"	"Naomi Auer"	"PhD student"	NA	"B01"	"PhD student in project B01"	"https://www.sprekelerlab.org/"	NA	NA	NA	"0000-0002-3978-8531"
"naoya-takahashi"	"naoya-takahashi"	"Dr. Naoya Takahashi"	"Alumni"	"https://orcid.org/0000-0002-6008-4627"	"A04"	"Post doc in project A04"	"https://www.projekte.hu-berlin.de/en/larkum/people/naoya-takahashi-1"	NA	"https://twitter.com/na0ya_takahashi"	NA	"0000-0002-6008-4627"
"nicolas-roth"	"nicolas-roth"	"Nicolas Roth"	"alumni"	"https://orcid.org/0000-0002-8423-7288"	"B03"	"PhD student in project B03"	"https://www.ni.tu-berlin.de/menue/neural_information_processing_group/"	NA	NA	NA	"0000-0002-8423-7288"
