,"FIRST AUTHOR","PUB DATE","LINK TO Preprint","LINK TO PUB","doi","NOT open","OPEN","changedopenstatus","PROJECT","SFB Website","HU BOX","REPOSITORY LINK","is_oa","authorl",,"url","issued","not only PI","at least 2 authors from sfb, not same AG"
"56","Valova V.","NA","NA","https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0039-3399529","10.1055/s-0039-3399529","1","0","??","B04","y","y","-","FALSE","Valeria Valova, Aleksandra Kochan, Bianca Werry, Rainer John, Christine Prager, Joanna Schneider, Angela M. Kaindl","Angela M. Kaindl","http://dx.doi.org/10.1055/s-0039-3399529","2019-11-21",0,1
"1","Aerts H.","16 March 2020","https://www.biorxiv.org/content/10.1101/752931v2.full","https://www.sciencedirect.com/science/article/pii/S1053811920302251?via%3Dihub","10.1016/j.neuroimage.2020.116738","0","1","NA","B06","y","y","https://www.biorxiv.org/content/10.1101/752931v2","TRUE","Hannelore Aerts, Michael Schirner, Thijs Dhollander, Ben Jeurissen, Eric Achten, Dirk Van Roost, Petra Ritter, Daniele Marinazzo","Petra Ritte","http://dx.doi.org/10.1016/j.neuroimage.2020.116738","2020-06",0,0
"4","Battaglia D.","2019 july 19","https://www.biorxiv.org/content/10.1101/107243v4","https://www.sciencedirect.com/science/article/pii/S105381192030642X?via%3Dihub","10.1016/j.neuroimage.2020.117156","0","1","NA","B06","n","y (pre proof)","https://www.biorxiv.org/content/10.1101/107243v4","TRUE","Demian Battaglia, Thomas Boudou, Enrique C.A. Hansen, Diego Lombardo, Sabrina Chettouf, Andreas Daffertshofer, Anthony R. McIntosh, Joelle Zimmermann, Petra Ritter, Viktor Jirsa","Petra Ritte","http://dx.doi.org/10.1016/j.neuroimage.2020.117156","2020-07",0,0
"5","Benichov J.","NA","NA","https://www.nature.com/articles/s41467-019-13938-0","10.1038/s41467-019-13938-0","0","1","NA","A06","y","y","-","TRUE","Jonathan I. Benichov, Daniela Vallentin","vallenin","http://dx.doi.org/10.1038/s41467-019-13938-0","2020-01-10",0,0
"6","Beyer F.","11 February 2020","https://www.biorxiv.org/content/10.1101/766261v1","https://onlinelibrary.wiley.com/doi/full/10.1002/hbm.24959","10.1002/hbm.24959","0","1","NA","B03","y","y","https://www.biorxiv.org/content/10.1101/766261v1","TRUE","Frauke Beyer, Kristin Prehn, Katharina A. Wüsten, Arno Villringer, Jürgen Ordemann, Agnes Flöel, A. Veronica Witte","Agnes Flöel","http://dx.doi.org/10.1002/hbm.24959","2020-04-02",0,0
"7","Bhukel A.","NA","NA","https://www.nature.com/articles/s41467-019-09262-2","10.1038/s41467-019-09262-2","0","1","NA","A08","y","y","-","TRUE","Anuradha Bhukel, Christine Brigitte Beuschel, Marta Maglione, Martin Lehmann, Gabor Juhász, Frank Madeo, Stephan J. Sigrist","Stephan J. Sigrist","http://dx.doi.org/10.1038/s41467-019-09262-2","2019-03-21",0,0
"9","Clemens A.M.","22 June 2020","NA","https://www.nature.com/articles/s41467-020-16489-x","10.1038/s41467-020-16489-x","0","1","NA","A03","y","y","-","TRUE","Ann M. Clemens, Hong Wang, Michael Brecht","Michael Brecht","http://dx.doi.org/10.1038/s41467-020-16489-x","2020-06-22",0,0
"12","Düzel E.","NA","NA","https://alz-journals.onlinelibrary.wiley.com/doi/full/10.1016/j.dadm.2019.04.010","10.1016/j.dadm.2019.04.010","0","1","NA","B06","y","y","-","TRUE","Emrah Düzel, Julio Acosta‐Cabronero, David Berron, Geert Jan Biessels, Isabella Björkman‐Burtscher, Michel Bottlaender, Richard Bowtell, Mark v Buchem, Arturo Cardenas‐Blanco, Fawzi Boumezbeur, Dennis Chan, Stuart Clare, Mauro Costagli, Ludovic Rochefort, Ariane Fillmer, Penny Gowland, Oskar Hansson, Jeroen Hendrikse, Oliver Kraff, Mark E. Ladd, Itamar Ronen, Esben Petersen, James B. Rowe, Hartwig Siebner, Tony Stoecker, Sina Straub, Michela Tosetti, Kamil Uludag, Alexandre Vignaud, Jaco Zwanenburg, Oliver Speck","Emrah Düzel","http://dx.doi.org/10.1016/j.dadm.2019.04.010","2019-07-31",0,0
"15","Gidon A.","NA","https://doi.org/10.5281/zenodo.3758324","https://science.sciencemag.org/content/367/6473/83","10.1126/science.aax6239","0","1","green OA","A01","y","y","-","TRUE","Albert Gidon, Timothy Adam Zolnik, Pawel Fidzinski, Felix Bolduan, Athanasia Papoutsi, Panayiota Poirazi, Martin Holtkamp, Imre Vida, Matthew Evan Larkum","Matthew Evan Larkum","http://dx.doi.org/10.1126/science.aax6239","2020-01-02",0,0
"16","Holzbecher A.","NA","https://www.biorxiv.org/content/10.1101/311662v3","https://onlinelibrary.wiley.com/doi/full/10.1111/ejn.14267","10.1111/ejn.14267","1","0","1 – but preprint?","B01","y","y","https://www.biorxiv.org/content/10.1101/311662v3","TRUE","André Holzbecher, Richard Kempter","Richard Kempter","http://dx.doi.org/10.1111/ejn.14267","2018-12",0,0
